XYZ[0][m],XYZ[1][m],XYZ[2][m],Deviation[],Amplitude[dB],Reflectance[dB],True Color[0][],True Color[2][],True Color[3][]
-0.10000,2.59950,-0.39900,2,15.23,-16.67,26,14,1
-0.09725,2.59675,-0.39800,2,16.52,-17.12,16,1,1
-0.10675,2.60725,-0.39825,4,15.21,-16.18,32,19,1
-0.10525,2.60575,-0.39800,1,14.80,-16.59,31,19,1
-0.10400,2.60050,-0.39875,3,14.80,-17.12,27,15,1
-0.10225,2.60300,-0.39900,1,15.36,-16.05,31,18,1
-0.10075,2.60200,-0.39825,5,15.23,-16.68,26,14,1
-0.10250,2.60150,-0.39800,2,15.05,-16.87,26,14,1
-0.10225,2.60175,-0.39800,0,15.07,-16.34,32,19,1
-0.10375,2.60275,-0.39775,2,14.80,-16.61,32,17,1
-0.09950,2.60075,-0.39825,3,15.56,-15.86,31,19,1
-0.09675,2.60100,-0.39800,4,14.84,-17.06,26,14,1
-0.10100,2.60500,-0.39825,3,15.36,-16.04,31,19,1
-0.10025,2.60775,-0.39825,2,16.90,-16.73,16,1,1
-0.10000,2.60400,-0.39900,0,15.50,-15.91,32,20,1
-0.09850,2.60550,-0.39875,2,15.03,-16.88,26,14,1
-0.09925,2.60425,-0.39800,3,15.02,-16.89,26,14,1
-0.09725,2.60525,-0.39775,2,15.45,-15.95,32,20,1
-0.09875,2.60725,-0.39800,2,15.47,-15.92,32,20,1
-0.09625,2.60750,-0.39800,1,15.39,-16.00,31,19,1
-0.10550,2.60925,-0.39875,2,15.18,-16.20,31,19,1
-0.10725,2.60950,-0.39650,2,15.28,-16.09,31,19,1
-0.10550,2.60950,-0.39650,2,16.66,-16.97,16,1,1
-0.10875,2.61325,-0.39750,3,15.32,-16.04,30,18,1
-0.10625,2.61375,-0.39925,1,15.33,-16.62,25,13,1
-0.10475,2.61375,-0.39725,1,14.91,-16.45,30,18,1
-0.10650,2.61400,-0.39775,0,14.80,-17.15,26,13,1
-0.10325,2.60875,-0.39850,0,15.02,-16.91,26,14,1
-0.10075,2.60850,-0.39875,4,15.19,-16.73,25,13,1
-0.10300,2.61000,-0.39900,0,15.25,-16.13,31,19,1
-0.10400,2.61075,-0.39775,3,15.68,-16.26,26,14,1
-0.09750,2.60825,-0.39900,1,15.41,-16.50,26,14,1
-0.09725,2.60975,-0.39850,1,15.42,-16.50,26,14,1
-0.09775,2.61100,-0.39800,2,15.32,-16.05,32,20,1
-0.10350,2.61575,-0.39900,1,15.47,-16.48,26,14,1
-0.10275,2.61325,-0.39775,3,16.75,-16.88,18,1,1
